huihe,time,quarter,qtime,sop,team,person,xp,yp,region,defense,person2,xp2,yp2,score
65,671.98,3,14,pass,1610612739,201567,30.10662,25.72942,5,"[0, 0, 1, 1, 1]",203521,33.52601,23.92111,0
65,670.98,3,13.03,shot,1610612739,203521,22.87988,17.53831,5,"[0, 0, 0, 0, 0]",,,,2
66,373.59,3,16.93,pass,1610612739,2544,81.19125,15.00875,33,"[0, 1, 0, 1, 0]",201567,72.83197,16.6314,0
66,373.23,3,16.57,shot,1610612739,201567,72.78717,18.46084,55,"[0, 1, 0, 1, 0]",,,,2
67,362,3,18.49,pass,1610612739,2747,20.01674,-1.64633,2,"[0, 0, 1, 1, 0]",203521,28.78424,9.07658,0
67,354.17,3,7.58,shot,1610612739,203521,15.4381,31.18826,4,"[0, 0, 0, 1, 1]",,,,3
68,159.17,3,9.35,pass,1610612739,201567,89.95377,40.14332,99,"[0, 0, 0, 1, 0]",2747,80.05485,39.87064,0
68,159.09,3,9.27,shot,1610612739,2747,79.92132,39.79652,99,"[0, 0, 0, 1, 0]",,,,0
69,129.27,3,24,pass,1610612739,2590,88.17134,15.32601,33,"[0, 0, 0, 0, 0]",2747,73.38261,18.42191,0
69,129.03,3,24,pass,1610612739,2747,72.29102,17.35576,55,"[0, 0, 0, 0, 0]",201567,94.04875,19.26719,0
69,110.12,3,5.8,pass,1610612739,201567,11.80411,10.35146,1,"[0, 0, 0, 1, 1]",2747,29.56888,10.69988,0
69,107.17,3,2.9,shot,1610612739,2747,23.42731,14.3425,2,"[0, 0, 1, 0, 1]",,,,2
70,307.58,3,21.72,pass,1610612739,201567,37.62115,38.60608,9,"[0, 0, 0, 0, 0]",2544,68.58864,38.19279,0
70,307.5,3,21.64,pass,1610612739,2544,68.98629,38.02784,88,"[0, 0, 0, 0, 0]",201567,39.01015,37.77662,0
70,299.82,3,14.09,shot,1610612739,201567,81.6548,21.58724,66,"[0, 0, 0, 0, 0]",,,,0
71,559.97,3,20.32,pass,1610612739,202681,50.42116,43.62729,77,"[0, 0, 0, 0, 0]",2747,65.55636,45.56104,0
71,559.73,3,20.17,pass,1610612739,2747,65.34172,44.84723,88,"[0, 0, 0, 0, 0]",202681,47.25272,44.89149,0
71,559.52,3,20.05,shot,1610612739,202681,45.44484,45.61789,9,"[0, 0, 0, 0, 0]",,,,2
72,266.83,3,10.4,pass,1610612739,2544,37.38564,31.06072,6,"[0, 1, 0, 0, 0]",201567,28.84758,26.33564,0
72,263.98,3,7.91,shot,1610612739,201567,30.26996,31.71368,5,"[0, 0, 0, 0, 1]",,,,2
73,250.6,3,13.42,pass,1610612739,202697,5.12628,47.32009,7,"[0, 0, 0, 1, 0]",201567,24.71676,43.52857,0
73,250.4,3,13.24,pass,1610612739,201567,25.31577,43.13547,8,"[0, 0, 0, 0, 0]",202697,5.46236,47.06768,0
73,249.24,3,12.16,shot,1610612739,202697,8.84103,40.67121,7,"[0, 0, 1, 0, 1]",,,,0
74,135.64,3,19.83,pass,1610612739,2544,33.1654,5.92591,3,"[0, 0, 0, 0, 0]",203521,5.66428,3.26433,0
74,135.56,3,19.75,pass,1610612739,203521,5.43338,3.21711,1,"[0, 0, 0, 0, 0]",2544,32.61362,6.32524,0
74,134.42,3,18.59,pass,1610612739,2544,31.37163,13.33396,3,"[0, 0, 0, 0, 1]",202684,26.52109,15.72514,0
